,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa and ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",External causes of morbidity and mortality,infectious and parasitic diseases,Neoplasms,Country
0,13784.033333333333,567.6500000000001,5398.833333333334,76.58333333333334,262859.3833333333,41449.91666666667,54699.583333333336,527.45,298.59999999999997,21255.6,422.3,4070.6500000000005,7937.5,59488.86666666667,8502.416666666668,565337.0833333333,40949.88333333333,Egypt
1,831.5,25.0,227.5,1.0,4114.0,955.0,230.5,16.0,30.5,501.5,14.5,1523.5,513.0,3856.0,573.0,16414.5,1327.5,Libyan Arab Jamahiriya
2,2395.633333333333,87.33333333333333,182.18333333333334,0.0,3324.8166666666666,987.5166666666667,420.3666666666667,68.45,49.83333333333334,196.56666666666666,21.65,133.41666666666669,100.91666666666667,176.31666666666666,208.43333333333334,10079.683333333332,1515.1499999999999,Mauritius
3,63.5,9.25,42.666666666666664,3.0,183.16666666666666,53.0,29.5,5.0,6.0,12.5,6.0,58.166666666666664,49.83333333333333,141.0,6.5,620.9166666666666,158.5,Mayotte
4,2991.8333333333335,207.83333333333334,1248.9166666666667,8.0,10301.25,2362.166666666667,1359.75,81.41666666666666,140.5,1358.8333333333333,112.08333333333334,3954.75,797.25,14881.75,974.5,51309.66666666667,6450.666666666666,Morocco
5,336.5,176.33333333333334,231.5,2.0,1153.75,342.25,282.33333333333337,22.25,62.24999999999999,91.16666666666667,6.0,91.08333333333331,70.58333333333333,419.25,61.583333333333336,4576.666666666667,1301.1666666666667,Reunion
6,48.86666666666666,6.5,10.75,0.0,109.73333333333332,22.65,24.75,4.25,3.0,9.0,2.0,17.666666666666664,8.0,11.5,4.333333333333334,251.55,60.5,Rodrigues
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seychelles
8,30086.333333333336,1926.5000000000002,10679.833333333334,88.66666666666667,78846.66666666666,45809.83333333333,12008.833333333332,1001.1666666666666,1612.6666666666665,8874.166666666666,989.5,9466.166666666666,2132.666666666667,57445.66666666667,5989.0,554962.6666666667,50640.5,South Africa
9,1982.0,104.0,496.0,1.0,5717.0,1310.0,686.0,89.0,50.0,468.0,28.0,1171.0,519.0,3825.0,298.0,22569.0,3559.0,Tunisia
10,18.416666666666668,4.333333333333333,14.25,0.0,69.11666666666667,8.5,12.0,2.0,0.0,4.0,1.0,7.0,7.0,2.0,6.333333333333333,87.83333333333333,47.28333333333333,Anguilla
11,86.08333333333331,11.5,27.5,1.0,223.10000000000002,50.38333333333334,41.61666666666667,8.6,11.0,22.21666666666667,1.0,11.666666666666668,13.5,13.0,1.0,580.0833333333333,164.83333333333334,Antigua and Barbuda
12,12264.949999999999,2732.766666666667,5182.1,19.416666666666664,95870.03333333334,59038.700000000004,15655.31666666667,2435.85,1210.35,12998.683333333332,399.33333333333337,3716.166666666667,2659.5833333333335,22288.25,5085.449999999999,348359.73333333334,66165.93333333333,Argentina
13,74.91666666666666,14.416666666666668,57.666666666666664,0.0,253.16666666666666,64.66666666666666,64.0,6.25,10.0,29.166666666666668,2.0,4.0,11.333333333333332,33.66666666666667,25.0,706.0,241.00000000000003,Aruba
14,178.0,11.5,73.0,0.0,675.5,112.0,129.0,18.5,28.5,65.5,6.0,33.5,26.0,31.5,75.0,2303.5,448.0,Bahamas
15,280.0,51.0,55.0,0.0,745.0,202.0,89.0,56.0,17.0,93.0,1.0,16.0,24.0,34.0,16.0,2626.0,576.0,Barbados
16,224.58333333333331,11.75,49.83333333333333,1.0,432.1666666666667,175.33333333333334,150.33333333333334,6.0,11.5,54.333333333333336,1.0,105.25,66.58333333333333,21.75,155.25,1864.3333333333333,293.5,Belize
17,51.05,7.666666666666667,61.35,0.0,229.8166666666667,37.099999999999994,37.833333333333336,4.0,13.0,16.2,0.0,4.5,5.0,6.666666666666667,31.333333333333336,507.2,212.23333333333332,Bermuda
18,77422.38333333333,12881.216666666667,35762.183333333334,213.54999999999995,351501.61666666664,149244.28333333333,64786.98333333334,5276.050000000001,5725.45,37086.45,1983.3666666666666,21848.833333333332,11100.65,72256.81666666667,39612.566666666666,1328653.766666667,218950.68333333335,Brazil
19,9737.15,19661.1,13802.166666666664,40.7,70129.15,24305.45,11053.599999999999,641.3333333333333,1883.85,5201.916666666667,55.31666666666666,1153.7333333333333,1127.2833333333333,3604.1,2304.2666666666664,268620.2833333333,80281.03333333333,Canada
20,12.0,1.0,4.0,0.0,51.0,17.0,1.0,1.0,0.0,5.0,0.0,2.0,0.0,5.0,4.0,175.0,50.0,Cayman Islands
21,5477.0,1991.8999999999999,3910.116666666667,13.833333333333334,28341.36666666667,10666.833333333334,7775.700000000001,535.4166666666666,692.4333333333334,3325.7833333333333,96.38333333333333,855.9166666666666,1043.7166666666667,2557.7,2217.083333333333,106274.98333333332,27640.75,Chile
22,9723.2,558.4166666666667,3654.2333333333336,26.933333333333334,68440.85,25475.633333333335,10499.283333333333,1111.8666666666663,2217.766666666667,6894.116666666668,560.8166666666667,3916.866666666667,2558.15,4029.9833333333336,7266.116666666667,223318.53333333335,43785.75,Colombia
23,1141.0500000000002,338.95,641.8166666666666,4.0,5922.833333333333,2021.1,1661.5666666666666,124.20000000000002,249.68333333333334,895.8499999999999,42.03333333333333,324.65000000000003,327.6833333333333,489.75,788.1833333333334,21670.966666666664,5158.383333333334,Costa Rica
