,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country,Obesity,Population,Max Latitude,Max Longitude,Annual Average Temperature
0,40949.88333333333,567.6500000000001,8502.416666666668,298.6,Egypt,0.6604215456674474,0.0718439512497406,0.54304053459949,0.5928181197359434,0.8801977642873688
1,1515.15,87.33333333333333,208.4333333333333,49.83333333333334,Mauritius,0.2014051522248244,0.0008635621689886,0.1739206893519739,0.6684782608695652,0.8878578098501406
2,6450.666666666666,207.83333333333331,974.5,140.5,Morocco,0.531615925058548,0.0255988065585086,0.5805855974676866,0.4848907352606419,0.7990405479009548
3,50640.5,1926.5,5989.0,1612.6666666666663,South Africa,0.5644028103044496,0.0424821244057216,0.0700782555174536,0.5958911905303892,0.7584388085333563
4,3559.0,104.0,298.0,50.0,Tunisia,0.5714285714285714,0.0084445113172282,0.5930713092411852,0.5207147735033006,0.8136812111515149
5,164.83333333333334,11.5,1.0,11.0,Antigua and Barbuda,0.3793911007025761,3.137632983938885e-05,0.4205574606524224,0.3123435010243569,0.9525211287561764
6,66165.93333333333,2732.766666666667,5085.449999999999,1210.35,Argentina,0.5995316159250585,0.0323197590297868,0.0730677921392772,0.3351354427498293,0.6966971100861754
7,448.0,11.5,75.0,28.5,Bahamas,0.6838407494145199,0.0002417403594443,0.5040886309680823,0.2809298884589119,0.9195140067723566
8,576.0,51.0,16.0,17.0,Barbados,0.5128805620608899,0.0001661519284676,0.3819572672118174,0.318717277486911,0.9511119808361042
9,293.5,11.75,155.25,11.5,Belize,0.4566744730679157,0.0002602809179858,0.4272399542776752,0.2380491691327111,0.9216776823175794
10,218950.68333333332,12881.216666666667,39612.566666666666,5725.45,Brazil,0.4543325526932085,0.1510042921393023,0.3109997362173569,0.4056453448668336,0.9211729874951422
11,80281.03333333333,19661.1,2304.2666666666664,1883.85,Canada,0.6651053864168618,0.0271947207898848,0.9743251560713972,0.3380946961074436,0.2936131039473067
12,27640.75,1991.9,2217.083333333333,692.4333333333334,Chile,0.6065573770491803,0.0138455186400357,0.1107007825551745,0.2988276804006373,0.5819793805326424
