,Neoplasms,Mental and behavioural disorders,External causes of morbidity and mortality,Diseases of the musculoskeletal system and connective tissue,Country
0,40949.88333333333,567.6500000000001,8502.416666666668,298.6,Egypt
1,1327.5,25.0,573.0,30.5,Libyan Arab Jamahiriya
2,1515.15,87.33333333333333,208.4333333333333,49.83333333333334,Mauritius
3,158.5,9.25,6.5,6.0,Mayotte
4,6450.666666666666,207.83333333333331,974.5,140.5,Morocco
5,1301.1666666666667,176.33333333333334,61.583333333333336,62.24999999999999,Reunion
6,60.5,6.5,4.333333333333334,3.0,Rodrigues
7,0.0,0.0,0.0,0.0,Seychelles
8,50640.5,1926.5,5989.0,1612.6666666666663,South Africa
9,3559.0,104.0,298.0,50.0,Tunisia
10,47.28333333333333,4.333333333333333,6.333333333333333,0.0,Anguilla
11,164.83333333333334,11.5,1.0,11.0,Antigua and Barbuda
12,66165.93333333333,2732.766666666667,5085.449999999999,1210.35,Argentina
13,241.00000000000003,14.416666666666668,25.0,10.0,Aruba
14,448.0,11.5,75.0,28.5,Bahamas
15,576.0,51.0,16.0,17.0,Barbados
16,293.5,11.75,155.25,11.5,Belize
17,212.2333333333333,7.666666666666667,31.333333333333336,13.0,Bermuda
18,218950.68333333332,12881.216666666667,39612.566666666666,5725.45,Brazil
19,80281.03333333333,19661.1,2304.2666666666664,1883.85,Canada
20,50.0,1.0,4.0,0.0,Cayman Islands
21,27640.75,1991.9,2217.083333333333,692.4333333333334,Chile
22,43785.75,558.4166666666667,7266.116666666667,2217.766666666667,Colombia
23,5158.383333333334,338.95,788.1833333333334,249.6833333333333,Costa Rica
24,25265.216666666664,5054.9,1137.65,762.8666666666667,Cuba
25,186.33333333333331,7.0,20.5,7.0,Dominica
26,5103.0,55.0,2339.0,85.0,Dominican Republic
27,11618.4,213.96666666666667,3300.333333333333,480.1166666666667,Ecuador
28,4144.333333333333,550.1666666666667,978.6666666666666,125.83333333333334,El Salvador
29,247.5,22.25,31.5,15.0,French Guiana
30,262.1166666666667,18.7,9.5,11.166666666666668,Grenada
31,843.2499999999999,102.66666666666669,53.5,49.33333333333333,Guadeloupe
32,8917.85,580.0000000000001,1320.7666666666669,382.7833333333333,Guatemala
33,623.5,5.5,148.5,8.0,Guyana
34,555.0,24.0,111.0,33.0,Honduras
35,3854.0,35.0,99.0,115.5,Jamaica
36,948.5833333333334,94.08333333333331,33.08333333333333,40.083333333333336,Martinique
37,88494.33333333333,4684.7,16426.516666666666,4833.25,Mexico
38,18.166666666666664,1.0,2.0,1.0,Montserrat
39,3306.55,321.2333333333333,829.7833333333333,177.31666666666666,Nicaragua
40,3616.3666666666654,126.88333333333333,540.5666666666666,140.16666666666666,Panama
41,4758.333333333333,340.83333333333337,1295.6666666666663,257.55,Paraguay
42,21014.8,364.0,2416.2,745.5,Peru
43,5888.35,595.8333333333333,407.4500000000001,212.91666666666663,Puerto Rico
44,111.66666666666669,9.0,13.0,5.5,Saint Kitts and Nevis
45,288.1666666666667,7.666666666666667,38.0,14.5,Saint Lucia
46,259.1333333333333,6.5,16.2,12.25,Saint Vincent and the Grenadines
47,493.5,15.0,78.5,20.0,Suriname
48,26.666666666666664,4.0,19.5,0.0,Turks and Caicos Islands
49,620646.1166666666,142567.18333333335,39890.3,13745.366666666669,United States of America
50,167.5,27.666666666666664,27.0,9.5,Virgin Islands (USA)
51,8610.95,1001.6833333333332,558.05,323.68333333333334,Uruguay
52,26559.5,31.5,6940.0,562.5,Venezuela (Bolivarian Republic of)
53,341.0,15.0,87.5,19.5,Bahrain
54,735.3333333333334,40.5,74.33333333333333,55.83333333333333,Brunei Darussalam
55,2373.9500000000003,287.76666666666665,131.65,95.2,Cyprus
56,14623.416666666664,1237.7333333333331,193.41666666666669,212.1,Hong Kong SAR
57,45631.00000000001,2066.25,15249.416666666668,1112.1666666666667,Iran (Islamic Republic of)
58,10758.5,34.5,1919.0,69.5,Iraq
59,12031.616666666669,1753.7500000000002,376.4,386.9666666666667,Israel
60,729692.6166666667,20244.55,10292.666666666666,15884.666666666668,Japan
61,3262.0,3.0,675.0,45.0,Jordan
