Country,Obesity,Undernourished,Population,Annual Average Temperature,Max Latitude,Min Latitude,Max Longitude,Min Longitude,HDI Rank,hdi_2016,hdi_2017,hdi_2018,hdi_2019,gdp_2016,gdp_2017,gdp_2018,gdp_2019,Winter Average Temperature,Spring Average Temperature,Summer Average Temperature,Autumn Average Temperature
Afghanistan,4.5,29.8,38928000.0,15.150621212121214,38.47,29.39,74.89,60.49,169.0,0.502,0.506,0.509,0.511,2.2,2.6,1.2,3.9,5.430212121212121,21.216303030303035,25.174484848484852,8.78148484848485
Albania,22.3,6.2,2838000.0,14.300295454545456,42.65,39.64,21.04,19.27,69.0,0.7879999999999999,0.79,0.792,0.795,3.3,3.8,4.1,2.2,6.730242424242424,17.11069696969697,22.840666666666667,10.519575757575756
Algeria,26.6,3.9,44357000.0,24.49800757575757,37.09,18.98,11.97,-8.68,91.0,0.743,0.745,0.746,0.748,3.2,1.3,1.4,0.8,16.056424242424242,28.865636363636366,33.50609090909091,19.56387878787879
Angola,6.8,25,32522000.0,23.00065151515152,-4.39,-18.03,24.06,11.67,148.0,0.578,0.5820000000000001,0.5820000000000001,0.581,-2.6,-0.2,-1.2,-0.9,23.74609090909091,22.074181818181817,21.98312121212122,24.199212121212124
Antigua and Barbuda,19.1,,98000.0,27.499204545454546,17.73,16.99,-61.67,-61.89,78.0,0.765,0.768,0.772,0.778,5.5,3.1,7.0,3.4,26.054030303030302,27.732030303030303,28.808272727272726,27.402484848484846
Argentina,28.5,4.6,45377000.0,15.475962121212122,-21.79,-55.05,-53.66,-73.59,46.0,0.8390000000000001,0.843,0.8420000000000001,0.845,-2.1,2.8,-2.6,-2.1,20.761545454545455,12.00648484848485,10.543030303030303,18.59278787878788
Armenia,20.9,4.3,2956000.0,9.271136363636364,41.29,38.86,46.6,43.44,81.0,0.7659999999999999,0.769,0.7709999999999999,0.7759999999999999,0.2,7.5,5.2,7.6,-0.26248484848484804,13.314090909090908,19.672030303030308,4.360909090909091
Australia,30.4,<2.5,25754000.0,22.622886363636365,-9.24,-54.75,168.0,73.24,8.0,0.9390000000000001,0.941,0.943,0.9440000000000001,2.8,2.4,2.8,1.8,27.855060606060608,19.10651515151515,17.41851515151515,26.11145454545455
Austria,21.9,<2.5,8914000.0,7.824083333333332,49.01,46.38,17.15,9.52,18.0,0.917,0.919,0.9209999999999999,0.922,2.1,2.5,2.4,1.6,-0.06563636363636342,11.907090909090911,15.986909090909094,3.4679696969696967
Azerbaijan,19.9,<2.5,10108000.0,12.778265151515152,41.08,38.39,50.63,44.77,88.0,0.7509999999999999,0.754,0.754,0.7559999999999999,-3.1,0.2,1.5,2.2,3.533666666666667,16.919636363636368,22.876727272727276,7.783030303030302
Bahamas,32.1,,393000.0,25.947932575757577,27.23,20.92,-72.71,-80.5,58.0,0.81,0.812,0.812,0.8140000000000001,1.4,3.1,3.0,1.2,22.963969696969695,26.700527272727275,28.933933333333332,25.193299999999997
Bangladesh,3.4,14.7,169809000.0,25.78324242424243,26.62,20.74,92.64,88.02,133.0,0.606,0.616,0.625,0.632,7.1,7.3,7.9,8.2,21.88430303030303,28.651212121212122,28.86112121212121,23.736333333333334
Barbados,24.8,3.9,287000.0,27.43297727272727,13.34,13.05,-59.43,-59.65,58.0,0.8109999999999999,0.81,0.81,0.8140000000000001,2.5,0.5,-0.6,-0.1,26.334939393939397,27.75442424242424,28.27639393939394,27.36615151515151
Belarus,26.6,<2.5,9375000.0,7.82121212121212,56.16,51.24,32.72,23.17,53.0,0.815,0.8190000000000001,0.823,0.823,-2.5,2.5,3.1,1.2,-2.1855757575757573,13.450484848484853,17.221878787878786,2.7980606060606057
Belgium,24.5,<2.5,11515000.0,10.744363636363637,51.5,49.5,6.37,2.52,14.0,0.924,0.929,0.93,0.9309999999999999,1.5,1.9,1.5,1.4,4.366545454545455,13.544999999999996,17.519939393939396,7.545969696969698
