,Country
0,Afghanistan
1,Albania
2,Algeria
3,Angola
4,Antigua and Barbuda
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahamas
11,Bangladesh
12,Barbados
13,Belarus
14,Belgium
15,Belize
16,Benin
17,Bolivia
18,Bosnia and Herzegovina
19,Botswana
20,Brazil
21,Bulgaria
22,Burkina Faso
23,Cabo Verde
24,Cambodia
25,Cameroon
26,Canada
27,Central African Republic
28,Chad
29,Chile
30,China
31,Colombia
32,Congo
33,Costa Rica
34,Cote d'Ivoire
35,Croatia
36,Cuba
37,Cyprus
38,Czechia
39,Denmark
40,Djibouti
41,Dominica
42,Dominican Republic
43,Ecuador
44,Egypt
45,El Salvador
46,Estonia
47,Eswatini
48,Ethiopia
49,Fiji
50,Finland
51,France
52,French Polynesia
53,Gabon
54,Gambia
55,Georgia
56,Germany
57,Ghana
58,Greece
59,Grenada
60,Guatemala
61,Guinea
62,Guinea-Bissau
63,Guyana
64,Haiti
65,Honduras
66,Hungary
67,Iceland
68,India
69,Indonesia
70,Iran (Islamic Republic of)
71,Iraq
72,Ireland
73,Israel
74,Italy
75,Jamaica
76,Japan
77,Jordan
78,Kazakhstan
79,Kenya
80,Kiribati
81,"Korea, North"
82,"Korea, South"
83,Kuwait
84,Kyrgyzstan
85,Lao People's Democratic Republic
86,Latvia
87,Lebanon
88,Lesotho
89,Liberia
90,Lithuania
91,Luxembourg
92,Madagascar
93,Malawi
94,Malaysia
95,Maldives
96,Mali
97,Malta
98,Mauritania
99,Mauritius
100,Mexico
101,Mongolia
102,Montenegro
103,Morocco
104,Mozambique
105,Myanmar
106,Namibia
107,Nepal
108,Netherlands
109,New Caledonia
110,New Zealand
111,Nicaragua
112,Niger
113,Nigeria
114,North Macedonia
115,Norway
116,Oman
117,Pakistan
118,Panama
119,Paraguay
120,Peru
121,Philippines
122,Poland
123,Portugal
124,Republic of Moldova
125,Romania
126,Russian Federation
127,Rwanda
128,Saint Kitts and Nevis
129,Saint Lucia
130,Saint Vincent and the Grenadines
131,Samoa
132,Sao Tome and Principe
133,Saudi Arabia
134,Senegal
135,Serbia
136,Sierra Leone
137,Slovakia
138,Slovenia
139,Solomon Islands
140,South Africa
141,Spain
142,Sri Lanka
143,Sudan
144,Suriname
145,Sweden
146,Switzerland
147,Taiwan*
148,Tajikistan
149,Thailand
150,Timor-Leste
151,Togo
152,Trinidad and Tobago
153,Tunisia
154,Turkey
155,Turkmenistan
156,Uganda
157,Ukraine
158,United Arab Emirates
159,United Kingdom
160,United Republic of Tanzania
161,United States of America
162,Uruguay
163,Uzbekistan
164,Vanuatu
165,Venezuela (Bolivarian Republic of)
166,Vietnam
167,Yemen
168,Zambia
169,Zimbabwe
